"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1677 0.252519322104302 3 13 "GO:0001911;GO:0031342;GO:0002716;GO:0045953" "negative regulation of cell killing" 0.696040275432281
-2929 0.00285333190120162 3 29 "GO:0001912" "positive regulation of leukocyte mediated cytotoxicity" 0.117618967992235
589 0.803056571875955 5 5 "GO:0001913" "T cell mediated cytotoxicity" 0.952107815410988
-3436 0.0852951189259298 3 7 "GO:0001914;GO:0001916" "positive regulation of T cell mediated cytotoxicity" 0.490823469258271
-414 0.615880371078333 3 41 "GO:0001919" "regulation of receptor recycling" 0.901390789739572
-263 0.828127976771617 2 19 "GO:0001921" "positive regulation of receptor recycling" 0.956471554188875
-2428 0.146246200802931 2 10 "GO:0001922" "B-1 B cell homeostasis" 0.589194132748594
2774 0.164835113566296 8 7 "GO:0001923;GO:0002337" "B-1 B cell differentiation" 0.6119924907773
41 0.752483743022067 8 1809 "GO:0001932" "regulation of protein phosphorylation" 0.939342122161775
305 0.0934439115689668 3 885 "GO:0001933;GO:0042326;GO:0045936;GO:0010563" "negative regulation of phosphate metabolic process" 0.50791394841407
